"NAME10_1","geo","college","publicassistance","poverty","unemployment","owneroccupied","vacancy","employment_access_index","job_diversity_index","jobchange","Total.Mathematics.Avg.Scale.Score","Total.Reading.Average.Scale.Score","inverse.pct"
"Stamford","213",0.661538461538462,0.915167095115681,0.941516709511568,0.89485542621104,0.697951834346162,0.94993894993895,58019.6939888228,2011.55886428929,0.0686271917098558,256.5,239,0.9810099
"Stamford","218.02",0.57138012885724,0.931157572667007,0.889852116267211,0.915422885572139,0.549426138467234,0.982464929859719,47571.8607883497,1872.36772052089,0.0686271917098558,256.5,239,0.9810099
"Stamford","204",0.85815991237678,0.988125530110263,0.974554707379135,0.905805687203792,0.990481522956327,0.983319432860717,18811.0559691208,2095.6975980115,0.0686271917098558,256.5,239,0.9810099
"Stamford","205",0.845238095238095,1,0.981191222570533,0.930726731831704,0.874065934065934,0.935483870967742,30947.4195982175,2023.87705438671,0.0686271917098558,256.5,239,0.9810099
"Stamford","203",0.861835245046924,0.99505969534788,0.995471387402223,0.895059923998831,0.933304831124412,0.989409368635438,14967.6777430649,2143.16129643796,0.0686271917098558,256.5,239,0.9810099
"Stamford","214",0.362222788682131,0.908035714285714,0.877232142857143,0.84710953346856,0.345414847161572,0.910199106054449,61203.6985312936,2039.68405401325,0.0686271917098558,256.5,239,0.9810099
"Stamford","216",0.782295637441762,0.922259337989675,0.931673246279988,0.925091074681239,0.295280704286333,0.897275204359673,64837.3111446968,1981.07428971544,0.0686271917098558,256.5,239,0.9810099
"Stamford","201",0.642828445158698,0.720319099014547,0.713749413420929,0.884630738522954,0.134018155757286,0.888657214345288,68964.0080971872,1955.12990409409,0.0686271917098558,256.5,239,0.9810099
"Stamford","206",0.758180367118915,0.981888745148771,0.950840879689521,0.934740882917466,0.903031654034775,0.898314933178385,27114.3863717297,1971.15484575325,0.0686271917098558,256.5,239,0.9810099
"Sterling","9081",0.469890510948905,0.910236220472441,0.909448818897638,0.887141535615171,0.830163761225568,0.910394265232975,4396.93967745665,2329.2291616185,-0.0170905391672098,257.8,236.6,0.9898172
"Stonington","7054",0.643570952698201,0.983098591549296,0.973708920187793,0.94,0.878821362799263,0.87152209492635,5327.41962331806,2656.68605449129,0.0103674665128646,258.7,256.5,0.9852251
"Stonington","7053",0.834162520729685,0.985951468710089,0.957854406130268,0.919354838709677,0.725204731574158,0.855270344074276,9125.60709536664,3169.11523512654,0.0103674665128646,258.7,256.5,0.9852251
"Stonington","7051.01",0.615046018407363,0.918708240534521,0.935968819599109,0.959167950693374,0.756580378507722,0.938349007314525,7104.89899883117,2528.68473562771,0.0103674665128646,258.7,256.5,0.9852251
"Stonington","7052",0.829307568438003,0.982256020278834,0.959442332065906,0.975414216996259,0.771066588096641,0.746452223273415,5086.74198744214,2655.19190498782,0.0103674665128646,258.7,256.5,0.9852251
"Stonington","7051.02",0.591718610863758,0.959687123947052,0.925391095066185,0.94034938219003,0.658951346244686,0.83897021706209,7140.41563314222,2396.28576768971,0.0103674665128646,258.7,256.5,0.9852251
"Stratford","808",0.687000726216413,0.972090573986309,0.988941548183254,0.922567143355424,0.932542161149282,0.982919254658385,23262.7155420331,2259.01362494215,0.0354498009365266,250.8,239.4,0.9709248
"Stratford","813",0.769083969465649,0.986692015209126,0.96958174904943,0.916467780429594,0.875824425744826,0.933451641526176,28971.5083101872,2620.84144557692,0.0354498009365266,250.8,239.4,0.9709248
"Stratford","801",0.431793770139635,0.831419624217119,0.888308977035491,0.868810986628117,0.776155231046209,0.955610972568579,30273.7052487726,2550.01636393973,0.0354498009365266,250.8,239.4,0.9709248
"Stratford","811",0.667194301543332,0.948500282965478,0.971137521222411,0.940183486238532,0.957728968089515,0.974627688913403,21728.6745719943,2303.24771584046,0.0354498009365266,250.8,239.4,0.9709248
"Stratford","809",0.671433678941723,0.895417789757412,0.925067385444744,0.876612903225806,0.854016064257028,0.942581300813008,26340.2885697379,2403.75806362643,0.0354498009365266,250.8,239.4,0.9709248
"Stratford","805",0.70568746548868,0.993108201240524,0.963473466574776,0.957021489255372,0.867678958785249,0.952724885095207,18908.9703265308,2256.5730927897,0.0354498009365266,250.8,239.4,0.9709248
"Stratford","806",0.607936507936508,0.974054054054054,0.962162162162162,0.928247734138973,0.723938223938224,0.892857142857143,26093.5347942623,2238.8805247541,0.0354498009365266,250.8,239.4,0.9709248
"Stratford","804",0.530556400121618,0.785714285714286,0.792165898617512,0.850750416898277,0.530161844041197,0.895953757225433,27970.808955485,2288.20839956638,0.0354498009365266,250.8,239.4,0.9709248
